time/time_elapsed,time/fps,rollout/exploration_rate,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,rollout/ep_len_mean,train/loss
0,1831,0.9632349999999996,4,387,-142.000284,71,0.0001,96.75,1.001745581626892
0,1841,0.9279899999999996,8,758,-150.32488425,164,0.0001,94.75,0.8586004972457886
0,1836,0.8972099999999995,12,1082,-201.99646700000002,245,0.0001,90.16666666666667,1.1954511404037476
0,1820,0.8642449999999997,16,1429,-186.249457,332,0.0001,89.3125,5.195263862609863
1,1827,0.8126600000000004,20,1972,-213.21231275,467,0.0001,98.6,1.1178133487701416
1,1817,0.7644950000000003,24,2479,-222.150683,594,0.0001,103.29166666666667,1.011012315750122
1,1814,0.7244050000000002,28,2901,-235.14119760714286,700,0.0001,103.60714285714286,1.7448437213897705
1,1811,0.6858349999999995,32,3307,-239.6671624375,801,0.0001,103.34375,2.107375144958496
2,1805,0.6241799999999996,36,3956,-242.51903927777778,963,0.0001,109.88888888888889,0.9678111672401428
2,1798,0.5717399999999999,40,4508,-247.528754625,1101,0.0001,112.7,1.4292840957641602
2,1796,0.49127500000000013,44,5355,-245.02041625,1313,0.0001,121.70454545454545,0.841259777545929
3,1790,0.3799350000000007,48,6527,-233.37451850000002,1606,0.0001,135.97916666666666,1.273477554321289
4,1780,0.1933549999999996,52,8491,-227.63951876923082,2097,0.0001,163.28846153846155,0.8634555339813232
6,1753,0.05,56,11894,-223.01387514285716,2948,0.0001,212.39285714285714,1.043992280960083
8,1746,0.05,60,14482,-220.96245281666668,3595,0.0001,241.36666666666667,1.1310211420059204
10,1736,0.05,64,18003,-214.86589951562502,4475,0.0001,281.296875,0.8025146722793579
12,1731,0.05,68,21116,-213.5973155,5253,0.0001,310.52941176470586,0.7326316237449646
13,1728,0.05,72,23622,-213.2152899722222,5880,0.0001,328.0833333333333,0.9495919942855835
15,1726,0.05,76,26169,-217.06457513157895,6517,0.0001,344.32894736842104,0.9258524775505066
15,1723,0.05,80,27579,-217.3249371375,6869,0.0001,344.7375,1.645574927330017
17,1720,0.05,84,29870,-215.02321815476193,7442,0.0001,355.5952380952381,1.0082284212112427
18,1720,0.05,88,31366,-215.65484877272726,7816,0.0001,356.4318181818182,1.2963321208953857
19,1717,0.05,92,33809,-215.3680909891304,8427,0.0001,367.4891304347826,0.8700029850006104
20,1717,0.05,96,34939,-214.79970630208334,8709,0.0001,363.9479166666667,1.1818225383758545
22,1715,0.05,100,38939,-210.44492609,9709,0.0001,389.39,0.9097951650619507
25,1714,0.05,104,42939,-208.21605372000002,10709,0.0001,425.52,0.9589714407920837
27,1711,0.05,108,46939,-204.19649365,11709,0.0001,461.81,5.529594421386719
29,1710,0.05,112,50939,-193.60495716000003,12709,0.0001,498.57,0.9165828227996826
32,1709,0.05,116,54756,-190.89093358999995,13663,0.0001,533.27,0.8419067859649658
34,1709,0.05,120,58756,-180.79342927000002,14663,0.0001,567.84,0.9050266146659851
36,1709,0.05,124,62535,-174.46650213,15608,0.0001,600.56,0.6958401203155518
38,1709,0.05,128,66535,-165.08953571,16608,0.0001,636.34,0.8738493323326111
40,1708,0.05,132,69752,-159.88809476,17412,0.0001,664.45,1.075060486793518
42,1708,0.05,136,73115,-153.63306575000001,18253,0.0001,691.59,0.7270716428756714
44,1707,0.05,140,76597,-146.38672246,19124,0.0001,720.89,0.7434262037277222
46,1707,0.05,144,80069,-141.72095251,19992,0.0001,747.14,0.6563023924827576
49,1707,0.05,148,83731,-141.54277849,20907,0.0001,772.04,0.9598680138587952
51,1706,0.05,152,87731,-138.18997264,21907,0.0001,792.4,1.0508302450180054
53,1706,0.05,156,91731,-134.16050097000002,22907,0.0001,798.37,0.570361316204071
56,1706,0.05,160,95731,-129.42674205,23907,0.0001,812.49,0.7119418978691101
58,1705,0.05,164,99731,-126.77154038000002,24907,0.0001,817.28,0.7451269626617432
