rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates,rollout/ep_rew_mean,train/loss,train/learning_rate
0.9632349999999996,4,96.75,387,4342,0,71,-167.7961405,1.4090673923492432,0.0001
0.9257099999999996,8,97.75,782,4087,0,170,-211.468923125,7.4254231452941895,0.0001
0.88714,12,99.0,1188,4089,0,271,-176.53512075,3.830094575881958,0.0001
0.8389749999999998,16,105.9375,1695,4120,0,398,-174.3408901875,1.252025842666626,0.0001
0.7922349999999995,20,109.35,2187,4142,0,521,-198.86231035000003,1.1464053392410278,0.0001
0.7483449999999999,24,110.375,2649,4084,0,637,-228.9543025416667,1.1260040998458862,0.0001
0.7050249999999998,28,110.89285714285714,3105,3993,0,751,-258.1094832142857,2.479902744293213,0.0001
0.6621799999999997,32,111.125,3556,3965,0,863,-251.9715534375,1.799783706665039,0.0001
0.59283,36,119.05555555555556,4286,3952,1,1046,-247.31691355555554,4.797163963317871,0.0001
0.5392500000000002,40,121.25,4850,3941,1,1187,-244.94173087500002,5.041549205780029,0.0001
0.4111899999999997,44,140.86363636363637,6198,3908,1,1524,-235.4767765681818,4.3970627784729,0.0001
0.3228399999999999,48,148.5,7128,3872,1,1756,-227.06545306250004,4.455698013305664,0.0001
0.2291700000000002,52,156.03846153846155,8114,3847,2,2003,-223.81642207692312,0.6552439332008362,0.0001
0.1146950000000001,56,166.41071428571428,9319,3814,2,2304,-216.83687055357146,0.8400703072547913,0.0001
0.05,60,197.45,11847,3757,3,2936,-220.4348278666667,0.8859498500823975,0.0001
0.05,64,197.984375,12671,3738,3,3142,-226.74427065625002,1.1989598274230957,0.0001
0.05,68,220.52941176470588,14996,3718,4,3723,-226.0241545441177,1.915802001953125,0.0001
0.05,72,230.11111111111111,16568,3707,4,4116,-224.1263061527778,1.5616064071655273,0.0001
0.05,76,254.17105263157896,19317,3688,5,4804,-223.1077247368421,2.7263567447662354,0.0001
0.05,80,262.45,20996,3682,5,5223,-224.821983,1.8766679763793945,0.0001
0.05,84,274.0833333333333,23023,3663,6,5730,-223.75806726190478,1.0396941900253296,0.0001
0.05,88,297.1363636363636,26148,3655,7,6511,-219.49503755681823,0.871033251285553,0.0001
0.05,92,320.60869565217394,29496,3648,8,7348,-216.89491290217393,0.7367685437202454,0.0001
0.05,96,326.125,31308,3642,8,7801,-217.1109276458333,0.8446380496025085,0.0001
0.05,100,338.49,33849,3636,9,8437,-215.72334391,0.7111863493919373,0.0001
0.05,104,374.62,37849,3631,10,9437,-213.95539908000003,0.6406735181808472,0.0001
0.05,108,410.67,41849,3628,11,10437,-209.00531276,0.8721617460250854,0.0001
0.05,112,446.0,45788,3624,12,11421,-209.98342561000004,1.6405375003814697,0.0001
0.05,116,477.77,49472,3623,13,12342,-208.31533156999998,0.7876025438308716,0.0001
0.05,120,510.21,53208,3622,14,13276,-202.55652410999994,0.8305586576461792,0.0001
0.05,124,543.89,57038,3622,15,14234,-192.09690960999995,1.0765786170959473,0.0001
0.05,128,573.32,60437,3619,16,15084,-178.92285140000004,0.7251953482627869,0.0001
0.05,132,598.89,63445,3617,17,15836,-174.57916208999998,0.8983753323554993,0.0001
0.05,136,621.27,66413,3617,18,16578,-168.52872000999997,0.4419068992137909,0.0001
0.05,140,648.09,69659,3618,19,17389,-165.33826826,0.6769929528236389,0.0001
0.05,144,670.02,73200,3616,20,18274,-165.31515094000002,5.6127448081970215,0.0001
0.05,148,695.35,76663,3617,21,19140,-165.36059033,0.7156521081924438,0.0001
0.05,152,720.16,80130,3616,22,20007,-165.70266826000002,1.1539905071258545,0.0001
0.05,156,745.33,83852,3613,23,20937,-165.44875917000002,0.644459068775177,0.0001
0.05,160,752.28,87075,3611,24,21743,-158.93985617,0.6243760585784912,0.0001
0.05,164,777.93,90464,3612,25,22590,-150.94031592,0.8524456024169922,0.0001
0.05,168,787.0,93696,3610,25,23398,-146.14538612,0.5268438458442688,0.0001
0.05,172,809.04,97472,3609,27,24342,-143.29660475,0.8482720851898193,0.0001
