rollout/exploration_rate,time/total_timesteps,train/loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,train/n_updates,time/time_elapsed
0.9631400000000001,388,4.137342929840088,0.0001,-148.552316,97.0,1843,4,71,0
0.92723,766,1.4979603290557861,0.0001,-137.9176685,95.75,1841,8,166,0
0.88923,1166,1.1463394165039062,0.0001,-121.8686655,97.16666666666667,1832,12,266,0
0.8505649999999998,1573,3.927464008331299,0.0001,-157.412107375,98.3125,1827,16,368,0
0.81114,1988,4.068495750427246,0.0001,-164.62856695,99.4,1827,20,471,1
0.7670600000000002,2452,1.7262742519378662,0.0001,-190.90953933333333,102.16666666666667,1824,24,587,1
0.7253550000000002,2891,1.6397523880004883,0.0001,-217.25484728571428,103.25,1821,28,697,1
0.6854550000000003,3311,1.8184435367584229,0.0001,-237.9177795,103.46875,1819,32,802,1
0.6455550000000005,3731,2.076206684112549,0.0001,-248.75987994444438,103.63888888888889,1820,36,907,2
0.6038500000000004,4170,1.6626768112182617,0.0001,-265.013298,104.25,1816,40,1017,2
0.5612900000000001,4618,1.1820487976074219,0.0001,-267.40887915909093,104.95454545454545,1814,44,1129,2
0.5128400000000002,5128,1.056896448135376,0.0001,-259.39013589583334,106.83333333333333,1809,48,1256,2
0.46562499999999984,5625,1.0104719400405884,0.0001,-251.308927173077,108.17307692307692,1804,52,1381,3
0.3121050000000003,7241,0.9335867762565613,0.0001,-249.1511982321429,129.30357142857142,1791,56,1785,4
0.05,10458,1.171339750289917,0.0001,-242.0499823166667,174.3,1770,60,2589,5
0.05,14458,0.7503284215927124,0.0001,-237.150153125,225.90625,1750,64,3589,8
0.05,18458,1.499828577041626,0.0001,-231.02300995588234,271.44117647058823,1741,68,4589,10
0.05,22084,0.8786216378211975,0.0001,-224.83668450000002,306.72222222222223,1735,72,5495,12
0.05,24547,1.0320847034454346,0.0001,-220.63259993421056,322.9868421052632,1732,76,6111,14
0.05,27724,0.6770505309104919,0.0001,-217.5033297375,346.55,1730,80,6905,16
0.05,30898,0.8063479065895081,0.0001,-213.09496739285714,367.8333333333333,1725,84,7699,17
0.05,33352,0.7682216763496399,0.0001,-210.98370430681823,379.0,1718,88,8312,19
0.05,34709,1.0711572170257568,0.0001,-211.90115379347833,377.2717391304348,1714,92,8652,20
0.05,36479,3.6494617462158203,0.0001,-212.89728575,379.9895833333333,1709,96,9094,21
0.05,38803,0.7232781648635864,0.0001,-212.22726185999997,388.03,1699,100,9675,22
0.05,41132,0.7018252611160278,0.0001,-214.60156482999994,407.44,1695,104,10257,24
0.05,42679,0.8468919396400452,0.0001,-218.06005248999998,419.13,1691,108,10644,25
0.05,43478,1.5195475816726685,0.0001,-224.02238419999998,423.12,1690,112,10844,25
0.05,45829,5.558775901794434,0.0001,-220.30674209,442.56,1689,116,11432,27
0.05,48992,0.7750381827354431,0.0001,-215.73695184999997,470.04,1684,120,12222,29
0.05,52992,1.2490445375442505,0.0001,-206.55905038999992,505.4,1678,124,13222,31
0.05,56992,0.8395613431930542,0.0001,-194.66689977999994,541.01,1675,128,14222,34
0.05,60992,0.8909413814544678,0.0001,-182.81938215,576.81,1676,132,15222,36
0.05,64992,0.8204588890075684,0.0001,-172.91483994,612.61,1674,136,16222,38
0.05,68865,2.2016186714172363,0.0001,-161.18259119,646.95,1675,140,17191,41
0.05,72515,0.6668112277984619,0.0001,-154.77098188000002,678.97,1676,144,18103,43
0.05,76057,0.9086537957191467,0.0001,-153.54939738000002,709.29,1677,148,18989,45
0.05,79151,0.8463475108146667,0.0001,-154.24043245000001,735.26,1677,152,19762,47
0.05,83149,0.8951705694198608,0.0001,-149.45350262000002,759.08,1677,156,20762,49
0.05,86072,0.729581892490387,0.0001,-147.23149403999997,756.14,1676,160,21492,51
0.05,89249,0.7664484977722168,0.0001,-147.10963771999997,747.91,1676,164,22287,53
0.05,92727,0.6009277105331421,0.0001,-143.353501,742.69,1677,168,23156,55
0.05,96681,0.8683614134788513,0.0001,-143.13777346999998,745.97,1676,172,24145,57
