time/episodes,train/n_updates,train/loss,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,time/fps
4,62,4.606095790863037,0,0.9667500000000006,87.5,-226.656969,350,0.0001,3599
8,147,0.8862683176994324,0,0.9345450000000004,86.125,-173.794466,689,0.0001,3548
12,237,1.2909895181655884,0,0.9001549999999998,87.58333333333333,-190.0264510833333,1051,0.0001,3597
16,327,2.833498001098633,0,0.86605,88.125,-215.11435343749997,1410,0.0001,3612
20,424,1.0162545442581177,0,0.8289999999999998,90.0,-217.85208819999997,1800,0.0001,3630
24,543,1.1830812692642212,0,0.7840649999999998,94.70833333333333,-218.71047025,2273,0.0001,3638
28,642,0.8736554384231567,0,0.7464450000000001,95.32142857142857,-227.69754403571432,2669,0.0001,3626
32,763,2.0432302951812744,0,0.7001799999999998,98.625,-239.51543703125,3156,0.0001,3623
36,882,1.2046136856079102,1,0.6550550000000004,100.86111111111111,-221.88360894444446,3631,0.0001,3615
40,1036,4.83070182800293,1,0.5965349999999999,106.175,-239.05890422499996,4247,0.0001,3600
44,1167,4.668460845947266,1,0.5468500000000003,108.4090909090909,-242.16269315909088,4770,0.0001,3586
48,1274,1.6300535202026367,1,0.5062850000000004,108.27083333333333,-232.18963491666668,5197,0.0001,3568
52,1803,0.9792667627334595,2,0.30507499999999965,140.67307692307693,-224.4822856730769,7315,0.0001,3516
56,2803,0.9057347774505615,3,0.05,202.05357142857142,-218.31176569642858,11315,0.0001,3421
60,3803,0.7448309659957886,4,0.05,255.25,-212.9067261666667,15315,0.0001,3372
64,4803,0.7507999539375305,5,0.05,301.796875,-205.72053812500002,19315,0.0001,3339
68,5803,3.9136760234832764,7,0.05,342.86764705882354,-198.72646123529412,23315,0.0001,3310
72,6803,0.9595305323600769,8,0.05,379.375,-192.03071768055557,27315,0.0001,3297
76,7211,0.962548553943634,8,0.05,380.85526315789474,-190.61313544736842,28945,0.0001,3290
80,7631,0.918749213218689,9,0.05,382.825,-193.2363356875,30626,0.0001,3286
84,8056,0.8261797428131104,9,0.05,384.8452380952381,-193.58960423809523,32327,0.0001,3281
88,8454,1.1867055892944336,10,0.05,385.4431818181818,-196.2352273409091,33919,0.0001,3275
92,9244,4.252800464630127,11,0.05,403.0326086956522,-194.54492164130434,37079,0.0001,3276
96,9833,0.7919301986694336,12,0.05,410.78125,-194.56208236458335,39435,0.0001,3272
100,10431,0.8011622428894043,12,0.05,418.25,-194.39690536000006,41825,0.0001,3265
104,11220,0.7185876965522766,13,0.05,446.31,-191.90636271999992,44981,0.0001,3257
108,11596,1.291177749633789,14,0.05,457.97,-197.77479841999997,46486,0.0001,3256
112,12402,0.6262546181678772,15,0.05,486.59,-195.26941297999997,49710,0.0001,3254
116,12975,0.949462890625,15,0.05,505.91,-189.21533815000004,52001,0.0001,3252
120,13769,0.5384725332260132,16,0.05,533.8,-183.98685584000006,55180,0.0001,3249
124,14141,0.7221499085426331,17,0.05,543.92,-180.23440457,56665,0.0001,3248
128,14739,0.8193976283073425,18,0.05,563.89,-173.91522576000003,59058,0.0001,3248
132,15354,0.9780912399291992,18,0.05,583.64,-165.73984574000002,61520,0.0001,3248
136,16354,0.9953554272651672,20,0.05,618.89,-164.72132169999998,65520,0.0001,3248
140,17341,0.8287005424499512,21,0.05,652.21,-148.68052587,69468,0.0001,3245
144,18320,1.3400315046310425,22,0.05,686.13,-142.45828684999998,73383,0.0001,3245
148,19320,0.6949310302734375,23,0.05,721.86,-140.26720867999998,77383,0.0001,3243
152,20320,0.5335894227027893,25,0.05,740.68,-137.01588241,81383,0.0001,3242
156,21320,0.7575286030769348,26,0.05,740.68,-133.76202849999999,85383,0.0001,3239
160,22320,0.8229837417602539,27,0.05,740.68,-128.35935623,89383,0.0001,3237
164,23320,1.3635677099227905,28,0.05,740.68,-125.22976079999998,93383,0.0001,3237
168,23953,0.45834583044052124,29,0.05,726.01,-121.11944868,95916,0.0001,3237
172,24771,0.8227150440216064,30,0.05,718.71,-119.24170719,99186,0.0001,3236
