time/total_timesteps,time/episodes,rollout/exploration_rate,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,time/fps,train/loss,time/time_elapsed
325,4,0.9691250000000002,56,81.25,-264.69445575,0.0001,4508,1.7192182540893555,0
652,8,0.9380600000000003,137,81.5,-232.469857,0.0001,4264,1.3294309377670288,0
966,12,0.90823,216,80.5,-251.09929333333332,0.0001,4237,1.668731451034546,0
1393,16,0.867665,323,87.0625,-240.75443762500004,0.0001,4251,2.3602652549743652,0
1770,20,0.8318499999999995,417,88.5,-223.60605055000002,0.0001,4247,0.8583175539970398,0
2140,24,0.7967000000000002,509,89.16666666666667,-227.47703054166664,0.0001,4236,7.049941062927246,0
2633,28,0.7498650000000003,633,94.03571428571429,-236.22123274999996,0.0001,4228,0.8641484379768372,0
3180,32,0.6978999999999995,769,99.375,-236.78490715625,0.0001,4210,8.41663646697998,0
3677,36,0.6506850000000004,894,102.13888888888889,-228.20480327777776,0.0001,4180,4.10355806350708,0
4090,40,0.6114499999999996,997,102.25,-221.946012025,0.0001,4145,1.0048701763153076,0
4799,44,0.5440950000000002,1174,109.06818181818181,-214.5428919772727,0.0001,4117,0.5826351642608643,1
5699,48,0.4585950000000002,1399,118.72916666666667,-213.91196345833336,0.0001,4075,6.064040184020996,1
6842,52,0.3500099999999997,1685,131.57692307692307,-209.99069613461538,0.0001,4037,3.94142484664917,1
9895,56,0.059975000000000334,2448,176.69642857142858,-210.1953780535714,0.0001,3953,1.16819167137146,2
12248,60,0.05,3036,204.13333333333333,-197.21881984999996,0.0001,3891,1.2598795890808105,3
14293,64,0.05,3548,223.328125,-195.48546840625,0.0001,3854,1.0850507020950317,3
16227,68,0.05,4031,238.63235294117646,-196.36276085294116,0.0001,3828,0.8514890670776367,4
17113,72,0.05,4253,237.68055555555554,-203.47449329166665,0.0001,3816,2.3563942909240723,4
17895,76,0.05,4448,235.46052631578948,-212.39242805263157,0.0001,3807,1.1923736333847046,4
18382,80,0.05,4570,229.775,-219.38153849999998,0.0001,3800,1.1398813724517822,4
18997,84,0.05,4724,226.1547619047619,-220.86513277380948,0.0001,3793,1.4764896631240845,5
19835,88,0.05,4933,225.39772727272728,-221.9132466136364,0.0001,3785,4.222027778625488,5
20279,92,0.05,5044,220.42391304347825,-223.16382118478268,0.0001,3780,1.8065063953399658,5
21066,96,0.05,5241,219.4375,-225.64311103125,0.0001,3774,1.0179634094238281,5
25028,100,0.05,6231,250.28,-220.46612277,0.0001,3753,0.7337306141853333,6
29028,104,0.05,7231,287.03,-214.08100197,0.0001,3745,1.0623407363891602,7
32725,108,0.05,8156,320.73,-210.67041078,0.0001,3736,1.2001729011535645,8
35440,112,0.05,8834,344.74,-205.9903625,0.0001,3730,0.92084801197052,9
38039,116,0.05,9484,366.46,-203.90808674999997,0.0001,3726,1.4928582906723022,10
40366,120,0.05,10066,385.96,-200.84185560999995,0.0001,3722,0.981582760810852,10
42658,124,0.05,10639,405.18,-197.8481033,0.0001,3719,1.1433384418487549,11
44981,128,0.05,11220,423.48,-189.64567271000004,0.0001,3712,0.9403612017631531,12
46832,132,0.05,11682,436.52,-185.90985339000005,0.0001,3711,0.9471384286880493,12
49841,136,0.05,12435,461.64,-181.62163985000004,0.0001,3706,0.9438351988792419,13
53269,140,0.05,13292,491.79,-177.06645815000005,0.0001,3703,0.5349611043930054,14
55231,144,0.05,13782,504.32,-173.90108665000002,0.0001,3701,1.0188037157058716,14
57252,148,0.05,14287,515.53,-170.38326934999998,0.0001,3695,0.9171551465988159,15
60275,152,0.05,15043,534.33,-167.29137335000004,0.0001,3687,0.6501432061195374,16
62695,156,0.05,15648,528.0,-163.38193607000002,0.0001,3673,0.6696332693099976,17
65589,160,0.05,16372,533.41,-164.44676558000003,0.0001,3672,0.4916152358055115,17
67398,164,0.05,16824,531.05,-153.34086593,0.0001,3671,1.9636352062225342,18
69223,168,0.05,17280,529.96,-146.36295422999999,0.0001,3670,0.9053027033805847,18
72157,172,0.05,18014,550.44,-134.44556588,0.0001,3670,0.7366007566452026,19
74630,176,0.05,18632,567.35,-122.78268377,0.0001,3662,1.2540361881256104,20
77533,180,0.05,19358,591.51,-109.71574516000001,0.0001,3654,0.40974974632263184,21
80514,184,0.05,20103,615.17,-98.35040562999998,0.0001,3653,0.8832548260688782,22
84186,188,0.05,21021,643.51,-87.03774394,0.0001,3653,1.6649857759475708,23
87130,192,0.05,21757,668.51,-76.81118740999999,0.0001,3653,0.9442116022109985,23
90548,196,0.05,22611,694.82,-66.07817998,0.0001,3654,0.6299780607223511,24
94108,200,0.05,23501,690.8,-63.54138270000001,0.0001,3654,0.7618076205253601,25
97504,204,0.05,24350,684.76,-57.37012433000002,0.0001,3648,1.599069356918335,26
