train/learning_rate,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/episodes,time/fps,train/loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
0.0001,358,0,0.9659899999999998,4,1788,1.6861577033996582,64,89.5,-98.3451795
0.0001,716,0,0.9319799999999995,8,1817,1.7970285415649414,153,89.5,-135.568351625
0.0001,1166,0,0.88923,12,1822,1.361823320388794,266,97.16666666666667,-186.292112
0.0001,1562,0,0.8516100000000003,16,1778,1.6327544450759888,365,97.625,-173.949827125
0.0001,1940,1,0.8157000000000003,20,1751,1.1830203533172607,459,97.0,-155.59241515000002
0.0001,2352,1,0.7765600000000001,24,1744,1.1319520473480225,562,98.0,-174.36361575
0.0001,2801,1,0.7339050000000003,28,1742,1.1033016443252563,675,100.03571428571429,-184.92708735714285
0.0001,3289,1,0.6875450000000003,32,1745,1.2261351346969604,797,102.78125,-172.82045078125
0.0001,3734,2,0.6452699999999996,36,1747,1.4993354082107544,908,103.72222222222223,-194.13600363888887
0.0001,4177,2,0.6031850000000003,40,1746,3.511026620864868,1019,104.425,-193.35805895000004
0.0001,4712,2,0.5523599999999995,44,1751,1.6588373184204102,1152,107.0909090909091,-191.64696109090912
0.0001,5448,3,0.4824400000000003,48,1739,1.1962182521820068,1336,113.5,-186.10903670833332
0.0001,6423,3,0.389815,52,1741,1.120811104774475,1580,123.51923076923077,-185.7853455
0.0001,7513,4,0.2862649999999999,56,1743,1.142606258392334,1853,134.16071428571428,-191.4515976607143
0.0001,11037,6,0.05,60,1732,0.7901396155357361,2734,183.95,-190.21169725
0.0001,15037,8,0.05,64,1718,0.6613450646400452,3734,234.953125,-185.64972664062503
0.0001,18269,10,0.05,68,1712,0.8918296098709106,4542,268.6617647058824,-182.77839166176474
0.0001,19836,11,0.05,72,1711,1.703954815864563,4933,275.5,-185.03413205555557
0.0001,21386,12,0.05,76,1710,0.6570028066635132,5321,281.39473684210526,-189.87391655263158
0.0001,22873,13,0.05,80,1709,0.5710815191268921,5693,285.9125,-193.42039368750002
0.0001,23983,14,0.05,84,1707,0.6791589260101318,5970,285.51190476190476,-196.286415
0.0001,24568,14,0.05,88,1704,0.9170930981636047,6116,279.1818181818182,-196.54128826136366
0.0001,25047,14,0.05,92,1702,1.0166789293289185,6236,272.25,-200.5762565217392
0.0001,25739,15,0.05,96,1700,0.9744325280189514,6409,268.1145833333333,-208.51327760416666
0.0001,26404,15,0.05,100,1700,1.5605708360671997,6575,264.04,-211.31013384999997
0.0001,28723,16,0.05,104,1696,1.232468843460083,7155,283.65,-220.16224870999997
0.0001,31392,18,0.05,108,1696,1.2875926494598389,7822,306.76,-218.62342969999995
0.0001,35392,20,0.05,112,1690,0.7815569043159485,8822,342.26,-210.07021539000002
0.0001,39392,23,0.05,116,1690,0.9591786861419678,9822,378.3,-208.65029800999997
0.0001,43268,25,0.05,120,1692,0.8215344548225403,10791,413.28,-210.39162509999994
0.0001,46431,27,0.05,124,1692,1.052695393562317,11582,440.79,-203.33769223
0.0001,48808,28,0.05,128,1693,0.6903820633888245,12176,460.07,-198.21773742999994
0.0001,52808,31,0.05,132,1694,0.9019659757614136,13176,495.19,-197.77238382
0.0001,56687,33,0.05,136,1694,0.9903019666671753,14146,529.53,-188.61949085
0.0001,60168,35,0.05,140,1695,1.0235686302185059,15016,559.91,-183.85179308
0.0001,63171,37,0.05,144,1694,1.092375636100769,15767,584.59,-179.48851539000003
0.0001,66521,39,0.05,148,1696,1.1875872611999512,16605,610.73,-178.40962301000002
0.0001,70197,41,0.05,152,1696,1.266080617904663,17524,637.74,-174.19888251
0.0001,74113,43,0.05,156,1696,1.196541666984558,18503,666.0,-166.34978613000004
0.0001,78006,45,0.05,160,1697,0.6986855268478394,19476,669.69,-159.74893284
0.0001,82006,48,0.05,164,1697,0.5811257362365723,20476,669.69,-156.48745408000002
0.0001,86006,50,0.05,168,1697,0.5990972518920898,21476,677.37,-152.56406584
0.0001,90006,53,0.05,172,1697,0.955238401889801,22476,701.7,-146.34569399999998
0.0001,94006,55,0.05,176,1698,0.45318078994750977,23476,726.2,-136.97527802
0.0001,98006,57,0.05,180,1698,0.7014329433441162,24476,751.33,-127.89778316
