train/learning_rate,time/time_elapsed,rollout/ep_len_mean,train/loss,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,train/n_updates,time/total_timesteps,time/fps
0.0001,0,71.75,1.382243275642395,-140.2051955,4,0.9727349999999997,46,287,3798
0.0001,0,79.375,4.594432830810547,-139.866956,8,0.9396750000000003,133,635,3651
0.0001,0,85.5,0.8518646359443665,-147.86263225,12,0.9025299999999996,231,1026,3651
0.0001,0,85.1875,1.3300132751464844,-136.82132806250002,16,0.8705149999999997,315,1363,3632
0.0001,0,87.4,1.222184419631958,-169.34726525000002,20,0.8339399999999996,411,1748,3652
0.0001,0,91.625,1.4450416564941406,-173.46941708333335,24,0.7910950000000004,524,2199,3645
0.0001,0,98.0,1.0856213569641113,-205.12942671428573,28,0.7393199999999998,660,2744,3627
0.0001,0,101.90625,1.1951743364334106,-210.86411046875,32,0.6902049999999997,790,3261,3612
0.0001,1,101.55555555555556,2.7441742420196533,-206.88622222222224,36,0.6526799999999997,888,3656,3606
0.0001,1,111.075,0.9156978130340576,-205.868783025,40,0.5779150000000004,1085,4443,3595
0.0001,1,118.93181818181819,1.315840482711792,-200.80075147727274,44,0.5028650000000001,1283,5233,3554
0.0001,1,123.20833333333333,3.563143491744995,-200.13404922916666,48,0.4381700000000004,1453,5914,3538
0.0001,1,130.1153846153846,3.940155029296875,-195.28447450000002,52,0.3572299999999996,1666,6766,3521
0.0001,3,190.82142857142858,1.8478620052337646,-193.53153723214285,56,0.05,2646,10686,3439
0.0001,4,235.75,2.236340045928955,-187.25138076666664,60,0.05,3511,14145,3388
0.0001,4,259.671875,1.3582690954208374,-186.03294896875002,64,0.05,4129,16619,3365
0.0001,5,274.7352941176471,0.9440069794654846,-189.34800583823528,68,0.05,4645,18682,3350
0.0001,6,284.4583333333333,0.8943183422088623,-189.77657918055556,72,0.05,5095,20481,3339
0.0001,6,294.86842105263156,1.4060519933700562,-190.1476655394737,76,0.05,5577,22410,3327
0.0001,7,318.75,0.7031873464584351,-188.49553955000002,80,0.05,6349,25500,3317
0.0001,8,318.5238095238095,0.7960613369941711,-188.27846709523808,84,0.05,6663,26756,3313
0.0001,8,329.17045454545456,0.9670780301094055,-186.03786977272728,88,0.05,7216,28967,3307
0.0001,9,358.3369565217391,0.6889837384223938,-180.41899403260865,92,0.05,8216,32967,3300
0.0001,11,383.7604166666667,0.5777128338813782,-173.20881253125,96,0.05,9185,36841,3295
0.0001,12,400.01,0.9757224917411804,-165.87653942,100,0.05,9975,40001,3287
0.0001,13,426.92,0.7870070338249207,-166.91856530999996,104,0.05,10719,42979,3283
0.0001,13,450.09,5.544520854949951,-165.35781423,108,0.05,11385,45644,3280
0.0001,14,470.05,5.57080602645874,-164.87257119999998,112,0.05,11982,48031,3278
0.0001,15,486.55,0.8530668020248413,-165.83341423,116,0.05,12479,50018,3276
0.0001,15,501.55,0.8545233011245728,-159.30871577,120,0.05,12950,51903,3274
0.0001,16,518.72,0.6797574758529663,-157.18979751999998,124,0.05,13492,54071,3272
0.0001,17,532.45,1.2500865459442139,-146.79344999,128,0.05,13972,55989,3270
0.0001,17,547.85,0.6614843606948853,-142.75580013,132,0.05,14486,58046,3269
0.0001,18,562.31,0.8533568382263184,-141.53308727000004,136,0.05,14946,59887,3268
0.0001,18,567.62,4.818349361419678,-138.02719445,140,0.05,15276,61205,3267
0.0001,19,574.96,0.5986104011535645,-137.54158212,144,0.05,15657,62729,3266
0.0001,19,584.62,0.48316794633865356,-135.4902883,148,0.05,16068,64376,3265
0.0001,20,590.14,1.7638983726501465,-134.44077011000002,152,0.05,16419,65780,3265
0.0001,20,567.7,0.7240655422210693,-132.96448866,156,0.05,16838,67456,3264
0.0001,21,548.93,0.918062150478363,-133.79048086,160,0.05,17234,69038,3263
0.0001,21,538.35,1.0157136917114258,-132.12314515,164,0.05,17588,70454,3262
0.0001,21,529.51,1.0394940376281738,-127.23845204000001,168,0.05,17883,71633,3262
0.0001,22,527.48,1.376543402671814,-124.57036375,172,0.05,18282,73229,3261
0.0001,23,527.25,0.5105247497558594,-119.16641966000002,176,0.05,18758,75135,3259
0.0001,23,509.9,1.4626879692077637,-117.34203746000001,180,0.05,19097,76490,3259
0.0001,23,513.12,1.076628565788269,-108.20877101999999,184,0.05,19491,78068,3258
0.0001,24,511.08,0.5330361723899841,-105.10527573999998,188,0.05,19993,80075,3257
0.0001,25,496.09,0.821858286857605,-98.87062309000001,192,0.05,20618,82576,3256
0.0001,26,481.22,0.7035984396934509,-94.66894162999999,196,0.05,21215,84963,3255
0.0001,26,472.97,0.9269437789916992,-97.44275245,200,0.05,21799,87298,3254
0.0001,27,472.3,0.7989272475242615,-84.43805357,204,0.05,22527,90209,3251
0.0001,28,476.05,0.41110631823539734,-76.51568548,208,0.05,23287,93249,3250
0.0001,29,481.3,0.5950355529785156,-72.65068548,212,0.05,24015,96161,3249
0.0001,30,496.0,0.697220504283905,-72.47962752999999,216,0.05,24879,99618,3248
