train/n_updates,rollout/exploration_rate,time/total_timesteps,train/loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/learning_rate
58,0.9681750000000003,335,1.3605332374572754,-132.37199025,3800,0,83.75,4,0.0001
145,0.935115,683,4.19957971572876,-149.699843875,3686,0,85.375,8,0.0001
232,0.9019600000000001,1032,1.016444206237793,-127.84211083333332,3692,0,86.0,12,0.0001
328,0.8657650000000002,1413,1.225195050239563,-170.74938724999998,3692,0,88.3125,16,0.0001
424,0.8290950000000005,1799,0.9768658876419067,-180.2423624,3693,0,89.95,20,0.0001
515,0.7945149999999996,2163,4.01155948638916,-163.49868079166666,3681,0,90.125,24,0.0001
623,0.7534749999999998,2595,0.917616069316864,-186.67189425,3650,0,92.67857142857143,28,0.0001
748,0.7060700000000004,3094,1.6531295776367188,-188.51276931249998,3630,0,96.6875,32,0.0001
883,0.6547699999999996,3634,0.8873315453529358,-211.65435869444443,3598,1,100.94444444444444,36,0.0001
1039,0.5954900000000005,4258,1.398433804512024,-207.379541625,3584,1,106.45,40,0.0001
1196,0.5356399999999997,4888,1.2678102254867554,-203.1269365,3573,1,111.0909090909091,44,0.0001
1335,0.48310500000000045,5441,1.5639140605926514,-202.82045579166663,3560,1,113.35416666666667,48,0.0001
1717,0.3378500000000002,6970,4.012454986572266,-198.33426211538458,3535,1,134.03846153846155,52,0.0001
2154,0.17169500000000015,8719,1.149794578552246,-196.34013867857144,3501,2,155.69642857142858,56,0.0001
2697,0.05,10889,0.8619131445884705,-196.2967312,3450,3,181.48333333333332,60,0.0001
2982,0.05,12029,0.7477051019668579,-196.79538885937495,3427,3,187.953125,64,0.0001
3798,0.05,15293,1.263736605644226,-200.00412192647056,3395,4,224.89705882352942,68,0.0001
4404,0.05,17717,1.6051021814346313,-208.7600635972222,3379,5,246.06944444444446,72,0.0001
4722,0.05,18990,1.4022771120071411,-222.97499530263156,3371,5,249.8684210526316,76,0.0001
5295,0.05,21283,4.620780944824219,-222.5553666375,3358,6,266.0375,80,0.0001
5891,0.05,23665,0.9274047017097473,-218.53412699999998,3349,7,281.7261904761905,84,0.0001
6455,0.05,25922,1.0900850296020508,-221.86461565909087,3342,7,294.5681818181818,88,0.0001
6966,0.05,27965,0.6451712250709534,-225.99161873913047,3337,8,303.9673913043478,92,0.0001
7725,0.05,31004,3.3178114891052246,-224.85721751041663,3333,9,322.9583333333333,96,0.0001
8725,0.05,35004,0.7476182579994202,-220.3380793,3326,10,350.04,100,0.0001
9504,0.05,38118,0.9795185923576355,-217.25962228999998,3320,11,377.83,104,0.0001
10504,0.05,42118,0.8019532561302185,-212.94667137,3316,12,414.35,108,0.0001
11504,0.05,46118,1.820884108543396,-210.53619267000002,3312,13,450.86,112,0.0001
12433,0.05,49834,0.8692227602005005,-198.12699532,3310,15,484.21,116,0.0001
13256,0.05,53127,0.6130011677742004,-192.72400278,3309,16,513.28,120,0.0001
14196,0.05,56887,0.8531291484832764,-192.68339667,3307,17,547.24,124,0.0001
15097,0.05,60489,0.641808032989502,-182.27308359,3306,18,578.94,128,0.0001
16097,0.05,64489,0.9426655173301697,-175.19502518000002,3306,19,613.95,132,0.0001
17097,0.05,68489,1.1661417484283447,-160.69830936,3304,20,648.55,136,0.0001
18097,0.05,72489,0.953364372253418,-154.48793680999998,3299,21,682.31,140,0.0001
19097,0.05,76489,0.4606577157974243,-148.55914592,3299,23,716.01,144,0.0001
20097,0.05,80489,0.4841666519641876,-141.67576917999997,3298,24,750.48,148,0.0001
21097,0.05,84489,0.5462959408760071,-135.85562037,3299,25,775.19,152,0.0001
22097,0.05,88489,1.4107561111450195,-129.3135119,3298,26,797.7,156,0.0001
23087,0.05,92451,0.6701447367668152,-117.88104422999999,3295,28,815.62,160,0.0001
23816,0.05,95365,0.5018683671951294,-108.74439568,3295,28,833.36,164,0.0001
24579,0.05,98418,0.5037951469421387,-94.47326919,3294,29,831.25,168,0.0001
