train/n_updates,time/episodes,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,rollout/exploration_rate,time/fps,train/loss,time/time_elapsed
68,4,-238.24069425,373,0.0001,93.25,0.9645649999999999,4459,1.7626625299453735,0
150,8,-170.334872875,702,0.0001,87.75,0.9333099999999998,4220,4.647772312164307,0
233,12,-181.09470433333334,1035,0.0001,86.25,0.9016750000000003,4177,4.308187961578369,0
340,16,-198.28070693749999,1461,0.0001,91.3125,0.8612049999999999,4195,4.293551445007324,0
453,20,-173.70165045,1913,0.0001,95.65,0.8182650000000002,4187,0.9714899063110352,0
592,24,-184.87889591666666,2469,0.0001,102.875,0.7654450000000002,4188,1.05642569065094,0
686,28,-186.88329760714285,2848,0.0001,101.71428571428571,0.7294400000000005,4159,0.979609489440918,0
786,32,-203.58652753125,3248,0.0001,101.5,0.6914400000000005,4141,1.244500756263733,0
953,36,-217.70975958333332,3916,0.0001,108.77777777777777,0.6279800000000003,4110,1.1614559888839722,0
1087,40,-214.49658300000002,4452,0.0001,111.3,0.5770599999999999,4079,1.2747632265090942,1
1321,44,-209.8417471136364,5388,0.0001,122.45454545454545,0.4881399999999997,4032,0.8266693949699402,1
1480,48,-204.733167625,6023,0.0001,125.47916666666667,0.42781499999999995,4000,0.8467459678649902,1
1883,52,-201.14463174999997,7633,0.0001,146.78846153846155,0.2748649999999999,3940,1.3153090476989746,1
2265,56,-194.1550104107143,9164,0.0001,163.64285714285714,0.12942000000000065,3872,0.8017460107803345,2
2920,60,-191.1518741666667,11784,0.0001,196.4,0.05,3769,1.1671556234359741,3
3835,64,-191.57235696875,15441,0.0001,241.265625,0.05,3686,1.3386493921279907,4
4242,68,-191.05276548529415,17070,0.0001,251.02941176470588,0.05,3658,0.9977016448974609,4
4547,72,-202.3510378611111,18291,0.0001,254.04166666666666,0.05,3645,1.0221805572509766,5
5327,76,-198.0135049605263,21410,0.0001,281.7105263157895,0.05,3631,0.698960542678833,5
5741,80,-203.4234271875,23067,0.0001,288.3375,0.05,3629,0.706531286239624,6
6312,84,-205.43999590476193,25349,0.0001,301.7738095238095,0.05,3623,0.6588598489761353,6
6647,88,-209.56196801136363,26692,0.0001,303.3181818181818,0.05,3620,0.9999576807022095,7
7013,92,-211.51809140217392,28154,0.0001,306.0217391304348,0.05,3618,0.7346847653388977,7
7184,96,-213.73093400000002,28840,0.0001,300.4166666666667,0.05,3615,0.9421889185905457,7
7987,100,-211.66375638000002,32051,0.0001,320.51,0.05,3614,3.9768972396850586,8
8987,104,-204.85315961,36051,0.0001,356.78,0.05,3615,1.203962802886963,9
9697,108,-206.20506954,38891,0.0001,381.89,0.05,3615,0.8032709360122681,10
10411,112,-203.24092506000005,41747,0.0001,407.12,0.05,3615,0.8384908437728882,11
11267,116,-198.57901697,45172,0.0001,437.11,0.05,3616,1.345826506614685,12
11841,120,-193.81091931999998,47467,0.0001,455.54,0.05,3616,1.0573276281356812,13
12314,124,-184.57784697,49357,0.0001,468.88,0.05,3615,0.9035519361495972,13
12806,128,-173.66835233,51325,0.0001,484.77,0.05,3614,1.1726927757263184,14
13385,132,-165.37977247999999,53642,0.0001,503.94,0.05,3613,0.5339993238449097,14
13868,136,-155.44494636000002,55573,0.0001,516.57,0.05,3613,0.5797742009162903,15
14407,140,-151.9909499,57732,0.0001,532.8,0.05,3614,0.9901661276817322,15
15034,144,-145.02162690999995,60237,0.0001,548.49,0.05,3613,0.5127893686294556,16
15595,148,-135.99614590999997,62481,0.0001,564.58,0.05,3613,0.5832764506340027,17
16214,152,-128.61666067,64958,0.0001,573.25,0.05,3612,1.3121976852416992,17
16773,156,-120.16996562999996,67194,0.0001,580.3,0.05,3611,0.6015675067901611,18
17505,160,-110.04652867000003,70124,0.0001,583.4,0.05,3610,5.42409610748291,19
18098,164,-99.79374657,72494,0.0001,570.53,0.05,3609,1.2780864238739014,20
18708,168,-90.59726750000002,74934,0.0001,578.64,0.05,3608,0.5492082834243774,20
19389,172,-71.25881258999999,77658,0.0001,593.67,0.05,3608,0.954820990562439,21
20034,176,-66.03816669999999,80238,0.0001,588.28,0.05,3607,0.6966220140457153,22
20649,180,-48.74816412999999,82698,0.0001,596.31,0.05,3607,0.5418442487716675,22
21359,184,-34.827236500000005,85537,0.0001,601.88,0.05,3608,0.8163360953330994,23
21956,188,-23.925813750000003,87925,0.0001,612.33,0.05,3608,0.6772257089614868,24
22753,192,-9.4155379,91115,0.0001,629.61,0.05,3608,0.9822527170181274,25
23292,196,2.52536011,93271,0.0001,644.31,0.05,3608,0.8439202308654785,25
23932,200,5.484742560000005,95829,0.0001,637.78,0.05,3607,1.170883059501648,26
24827,204,8.969797170000003,99409,0.0001,633.58,0.05,3608,0.560492753982544,27
