rollout/ep_len_mean,time/episodes,rollout/exploration_rate,train/loss,time/total_timesteps,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed
99.5,4,0.9621900000000002,1.874326229095459,398,0.0001,74,-147.16640375000003,1786,0
101.25,8,0.92305,4.408597946166992,810,0.0001,177,-135.954712,1799,0
95.75,12,0.890845,4.052592754364014,1149,0.0001,262,-191.11329633333332,1785,0
98.8125,16,0.8498050000000001,4.844620704650879,1581,0.0001,370,-189.261044875,1770,0
99.6,20,0.8107599999999996,1.214645504951477,1992,0.0001,472,-188.75399375,1766,1
105.5,24,0.7594599999999999,1.785870909690857,2532,0.0001,607,-211.51473679166668,1759,1
103.35714285714286,28,0.7250700000000003,0.8465873599052429,2894,0.0001,698,-210.27585635714286,1762,1
106.0625,32,0.6775700000000002,1.0463544130325317,3394,0.0001,823,-217.266317875,1771,1
112.88888888888889,36,0.6139199999999999,1.1045656204223633,4064,0.0001,990,-236.17209677777777,1775,2
115.325,40,0.5617650000000001,4.917563438415527,4613,0.0001,1128,-240.875947725,1773,2
119.25,44,0.5015349999999998,1.746956467628479,5247,0.0001,1286,-233.2434614090909,1773,2
130.58333333333334,48,0.40454000000000045,1.0464260578155518,6268,0.0001,1541,-226.70092614583334,1770,3
192.03846153846155,52,0.05132999999999954,0.9941941499710083,9986,0.0001,2471,-221.170209,1747,5
249.75,56,0.05,3.417661428451538,13986,0.0001,3471,-213.346986625,1716,8
285.18333333333334,60,0.05,0.5756437182426453,17111,0.0001,4252,-209.29470673333333,1699,10
317.484375,64,0.05,0.8350303173065186,20319,0.0001,5054,-203.63806399999999,1694,11
347.36764705882354,68,0.05,0.7468662261962891,23621,0.0001,5880,-199.55344447058823,1688,13
360.31944444444446,72,0.05,0.5932373404502869,25943,0.0001,6460,-199.093529875,1686,15
372.64473684210526,76,0.05,0.8387027978897095,28321,0.0001,7055,-199.38996496052633,1686,16
362.6375,80,0.05,0.7049078941345215,29011,0.0001,7227,-202.67675891250002,1686,17
355.8690476190476,84,0.05,3.9596657752990723,29893,0.0001,7448,-204.87283973809522,1686,17
346.64772727272725,88,0.05,0.8134270310401917,30505,0.0001,7601,-212.16028436363638,1685,18
336.35869565217394,92,0.05,0.8160847425460815,30945,0.0001,7711,-210.379304923913,1684,18
336.3854166666667,96,0.05,0.9723853468894958,32293,0.0001,8048,-210.85547563541664,1682,19
353.99,100,0.05,1.001668930053711,35399,0.0001,8824,-207.99095832,1683,21
382.43,104,0.05,1.1232855319976807,38641,0.0001,9635,-205.85444563000001,1682,22
402.66,108,0.05,0.9393700361251831,41076,0.0001,10243,-210.12161018999998,1683,24
424.15,112,0.05,4.392966270446777,43564,0.0001,10865,-205.34268079,1684,25
441.49,116,0.05,0.8727859854698181,45730,0.0001,11407,-203.61893555999998,1684,27
469.34,120,0.05,0.7399812936782837,48926,0.0001,12206,-202.68021442,1683,29
502.49,124,0.05,0.5752471685409546,52781,0.0001,13170,-195.71134169,1685,31
527.02,128,0.05,0.8117557764053345,55596,0.0001,13873,-192.68530993000005,1684,32
556.29,132,0.05,0.9056189656257629,59023,0.0001,14730,-180.53200092,1684,35
581.43,136,0.05,0.7335497140884399,62207,0.0001,15526,-163.93340136999998,1684,36
607.28,140,0.05,0.556038498878479,65341,0.0001,16310,-152.96537884,1684,38
628.23,144,0.05,0.6155412793159485,68070,0.0001,16992,-147.86001688,1684,40
640.18,148,0.05,0.580632746219635,70286,0.0001,17546,-146.86103112000004,1684,41
628.8,152,0.05,0.551979124546051,72866,0.0001,18191,-143.78568438,1684,43
614.23,156,0.05,0.6706728935241699,75409,0.0001,18827,-142.76042551,1684,44
612.06,160,0.05,1.1586761474609375,78317,0.0001,19554,-141.84310749000002,1684,46
605.67,164,0.05,4.748427867889404,80886,0.0001,20196,-136.38590602000002,1684,48
597.82,168,0.05,0.792626142501831,83403,0.0001,20825,-131.96712195,1684,49
601.2,172,0.05,0.34859269857406616,86063,0.0001,21490,-129.42365468,1684,51
597.84,176,0.05,0.5187584161758423,88105,0.0001,22001,-127.17260089999999,1684,52
612.66,180,0.05,1.562274694442749,90277,0.0001,22544,-119.2780396,1683,53
624.76,184,0.05,0.8192221522331238,92369,0.0001,23067,-112.93556427000001,1683,54
643.75,188,0.05,0.6785798668861389,94880,0.0001,23694,-101.86488951999999,1683,56
654.9,192,0.05,0.7672966718673706,96435,0.0001,24083,-100.15183534999998,1682,57
663.76,196,0.05,0.8400003910064697,98669,0.0001,24642,-92.5262056,1683,58
