train/learning_rate,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,train/loss,time/episodes,time/fps,time/time_elapsed
0.0001,385,96.25,-203.04260575,0.9634249999999999,71,2.1972246170043945,4,3754,0
0.0001,815,101.875,-214.1060835,0.9225750000000001,178,0.8598117828369141,8,3721,0
0.0001,1188,99.0,-197.55562216666667,0.88714,271,1.157676339149475,12,3728,0
0.0001,1680,105.0,-197.304492875,0.8403999999999997,394,1.313093900680542,16,3747,0
0.0001,2084,104.2,-217.28514215,0.8020200000000003,495,0.8362062573432922,20,3746,0
0.0001,2604,108.5,-242.80092449999998,0.7526200000000005,625,1.721261978149414,24,3672,0
0.0001,3029,108.17857142857143,-250.27895442857144,0.7122449999999996,732,0.8676797747612,28,3650,0
0.0001,3718,116.1875,-258.58133384375003,0.6467900000000001,904,1.1835287809371948,32,3624,1
0.0001,4342,120.61111111111111,-250.1456345,0.5875099999999999,1060,0.8271467685699463,36,3580,1
0.0001,4962,124.05,-253.04709467499998,0.52861,1215,0.881574273109436,40,3566,1
0.0001,5776,131.27272727272728,-249.02974011363634,0.4512799999999997,1418,1.125921368598938,44,3547,1
0.0001,7122,148.375,-239.24646672916666,0.32340999999999953,1755,2.164224147796631,48,3528,2
0.0001,11122,213.8846153846154,-234.97854540384617,0.05,2755,1.5807955265045166,52,3440,3
0.0001,15122,270.0357142857143,-231.13900217857145,0.05,3755,1.1942824125289917,56,3389,4
0.0001,19122,318.7,-225.66149290000004,0.05,4755,3.879608631134033,60,3357,5
0.0001,23122,361.28125,-220.079737484375,0.05,5755,1.1336181163787842,64,3341,6
0.0001,27122,398.8529411764706,-214.21806486764706,0.05,6755,0.9672574996948242,68,3331,8
0.0001,30326,421.19444444444446,-208.58683055555554,0.05,7556,1.0849909782409668,72,3300,9
0.0001,34089,448.5394736842105,-204.12510310526312,0.05,8497,0.5336414575576782,76,3278,10
0.0001,35631,445.3875,-202.5372881875,0.05,8882,1.0962307453155518,80,3266,10
0.0001,38786,461.73809523809524,-198.9346457380953,0.05,9671,0.9872874021530151,84,3262,11
0.0001,40946,465.29545454545456,-197.99981213636363,0.05,10211,1.1945796012878418,88,3261,12
0.0001,43362,471.32608695652175,-195.6708753369565,0.05,10815,0.9491959810256958,92,3260,13
0.0001,45826,477.3541666666667,-195.90713160416666,0.05,11431,1.1231696605682373,96,3258,14
0.0001,46507,465.07,-202.53288412999996,0.05,11601,0.842954695224762,100,3258,14
0.0001,49684,492.99,-200.40919560000003,0.05,12395,0.9280455112457275,104,3256,15
0.0001,51908,510.93,-195.33642116,0.05,12951,1.284414529800415,108,3255,15
0.0001,55770,545.82,-190.02675170999996,0.05,13917,0.849818229675293,112,3253,17
0.0001,59770,580.9,-186.10876602000005,0.05,14917,0.6892356872558594,116,3254,18
0.0001,63770,616.86,-177.80344424999998,0.05,15917,1.0136315822601318,120,3254,19
0.0001,67770,651.66,-167.93416809000001,0.05,16917,0.9007163643836975,124,3253,20
0.0001,71703,686.74,-160.91884048999998,0.05,17900,0.9879874587059021,128,3249,22
0.0001,75703,719.85,-151.40617111000003,0.05,18900,0.8760268092155457,132,3249,23
0.0001,79703,753.61,-147.16754024000002,0.05,19900,0.7707042694091797,136,3248,24
0.0001,83703,787.41,-139.87053964000003,0.05,20900,0.9071239233016968,140,3249,25
0.0001,87609,818.33,-137.52318281,0.05,21877,0.8631350994110107,144,3248,26
0.0001,91530,844.08,-137.73928152,0.05,22857,0.6617076396942139,148,3249,28
0.0001,95441,843.19,-134.8414707,0.05,23835,0.7610628604888916,152,3249,29
0.0001,99441,843.19,-131.44990719,0.05,24835,1.0146007537841797,156,3250,30
