time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,train/n_updates,train/loss,rollout/ep_rew_mean,train/learning_rate
4149,343,85.75,0.9674149999999996,4,0,60,2.4095447063446045,-139.81037625000002,0.0001
3898,811,101.375,0.9229550000000005,8,0,177,1.7722822427749634,-160.028306875,0.0001
3943,1196,99.66666666666667,0.8863800000000003,12,0,273,1.5287081003189087,-193.42496683333334,0.0001
3909,1605,100.3125,0.847525,16,0,376,4.2410688400268555,-170.958655125,0.0001
3970,2308,115.4,0.7807400000000001,20,0,551,0.8403663635253906,-161.32788885,0.0001
3920,2703,112.625,0.7432150000000001,24,0,650,0.9779378771781921,-163.28589866666667,0.0001
3906,3274,116.92857142857143,0.6889700000000001,28,0,793,1.0596648454666138,-168.7427982857143,0.0001
3895,3687,115.21875,0.6497350000000004,32,0,896,4.99589729309082,-187.567539625,0.0001
3867,4582,127.27777777777777,0.5647100000000003,36,1,1120,1.568967342376709,-201.4352167222222,0.0001
3857,4990,124.75,0.5259499999999995,40,1,1222,1.3904364109039307,-201.02737000000002,0.0001
3843,5822,132.3181818181818,0.4469099999999996,44,1,1430,1.2038646936416626,-206.3047588636364,0.0001
3805,6697,139.52083333333334,0.36378500000000036,48,1,1649,1.1704212427139282,-216.07158941666663,0.0001
3776,8304,159.69230769230768,0.21112000000000009,52,2,2050,1.1539852619171143,-220.526457326923,0.0001
3714,10734,191.67857142857142,0.05,56,2,2658,4.693388938903809,-216.00075864285714,0.0001
3677,12677,211.28333333333333,0.05,60,3,3144,4.74862813949585,-205.8207043833333,0.0001
3652,15075,235.546875,0.05,64,4,3743,0.6680268049240112,-205.01779615625,0.0001
3647,15637,229.9558823529412,0.05,68,4,3884,1.2220423221588135,-217.11752764705884,0.0001
3639,16215,225.20833333333334,0.05,72,4,4028,1.3110016584396362,-226.1878931388889,0.0001
3632,16715,219.93421052631578,0.05,76,4,4153,3.395555019378662,-231.48263977631578,0.0001
3621,18096,226.2,0.05,80,4,4498,1.148909330368042,-237.06080273750004,0.0001
3606,19522,232.4047619047619,0.05,84,5,4855,1.0941988229751587,-238.72646702380956,0.0001
3602,20971,238.3068181818182,0.05,88,5,5217,1.3139691352844238,-234.29395557954547,0.0001
3591,24077,261.70652173913044,0.05,92,6,5994,0.6795406937599182,-230.399186576087,0.0001
3575,27895,290.5729166666667,0.05,96,7,6948,0.9517081379890442,-221.1929593125,0.0001
3569,31354,313.54,0.05,100,8,7813,0.9976620078086853,-208.60017098,0.0001
3562,33501,331.58,0.05,104,9,8350,0.900941014289856,-201.58780372,0.0001
3551,34919,341.08,0.05,108,9,8704,0.565168023109436,-198.42671394999996,0.0001
3546,36465,352.69,0.05,112,10,9091,0.6579900979995728,-186.48578571000002,0.0001
3542,37727,361.22,0.05,116,10,9406,0.6032929420471191,-182.26743219000002,0.0001
3541,38671,363.63,0.05,120,10,9642,1.1209731101989746,-178.79152459999997,0.0001
3540,40093,373.9,0.05,124,11,9998,0.7810982465744019,-172.80626422999998,0.0001
3541,41158,378.84,0.05,128,11,10264,2.2374610900878906,-166.92873229999998,0.0001
3538,42130,384.43,0.05,132,11,10507,1.3364249467849731,-156.44692078999998,0.0001
3536,43465,388.83,0.05,136,12,10841,0.7304386496543884,-144.07961324,0.0001
3535,44618,396.28,0.05,140,12,11129,0.6946543455123901,-132.44855225999999,0.0001
3533,45752,399.3,0.05,144,12,11412,0.610073983669281,-123.01723319000001,0.0001
3533,46989,402.92,0.05,148,13,11722,0.9597944617271423,-106.55143580999997,0.0001
3531,47978,396.74,0.05,152,13,11969,1.3525965213775635,-97.58193155999999,0.0001
3529,49844,391.1,0.05,156,14,12435,0.5784727931022644,-92.20218338999999,0.0001
3525,52115,394.38,0.05,160,14,13003,1.189692497253418,-87.75889873,0.0001
3525,53275,382.0,0.05,164,15,13293,1.301613688468933,-80.65663047,0.0001
3523,54531,388.94,0.05,168,15,13607,0.6855884790420532,-65.19806377,0.0001
3523,55862,396.47,0.05,172,15,13940,0.8147657513618469,-53.51776646000001,0.0001
3521,56908,401.93,0.05,176,16,14201,0.8015790581703186,-44.240593870000005,0.0001
3521,59368,412.72,0.05,180,16,14816,1.3635128736495972,-29.885705480000006,0.0001
3521,62925,434.03,0.05,184,17,15706,0.6634309887886047,-17.26201156,0.0001
3520,65705,447.34,0.05,188,18,16401,0.4795610308647156,-12.783237790000001,0.0001
3521,67727,436.5,0.05,192,19,16906,1.3104146718978882,-10.276093740000004,0.0001
3522,70696,428.01,0.05,196,20,17648,2.7210617065429688,-13.606085720000001,0.0001
3523,74055,427.01,0.05,200,21,18488,0.7067316174507141,-19.08984265,0.0001
3523,76127,426.26,0.05,204,21,19006,0.8377098441123962,-22.785900070000004,0.0001
3524,77766,428.47,0.05,208,22,19416,1.2573922872543335,-19.595648160000003,0.0001
3524,79582,431.17,0.05,212,22,19870,0.5656247138977051,-26.403340359999998,0.0001
3524,81411,436.84,0.05,216,23,20327,0.48533177375793457,-29.71114418,0.0001
3525,83607,449.36,0.05,220,23,20876,0.3838641941547394,-32.07711286,0.0001
3526,85279,451.86,0.05,224,24,21294,0.6356993317604065,-33.093638299999995,0.0001
3526,87104,459.46,0.05,228,24,21750,0.9089354872703552,-31.34637671,0.0001
3526,88509,463.79,0.05,232,25,22102,1.6138217449188232,-33.18145295,0.0001
