time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,rollout/exploration_rate,train/n_updates,rollout/ep_len_mean,train/learning_rate,time/episodes
385,0,1815,-221.403551,0.6603952646255493,0.9634249999999999,71,96.25,0.0001,4
742,0,1819,-207.231884875,1.1302350759506226,0.9295100000000002,160,92.75,0.0001,8
1111,0,1809,-175.3912239166667,0.8454240560531616,0.8944550000000004,252,92.58333333333333,0.0001,12
1490,0,1795,-182.2159356875,0.9055684804916382,0.8584499999999998,347,93.125,0.0001,16
1884,1,1795,-187.99141765000002,1.2592672109603882,0.8210200000000003,445,94.2,0.0001,20
2260,1,1800,-194.95134341666667,4.063502788543701,0.7853000000000004,539,94.16666666666667,0.0001,24
2778,1,1799,-195.10002146428573,4.210700988769531,0.7360899999999997,669,99.21428571428571,0.0001,28
3287,1,1807,-201.71395443749998,1.3245784044265747,0.6877350000000004,796,102.71875,0.0001,32
3738,2,1809,-198.52902344444445,4.191705226898193,0.6448900000000004,909,103.83333333333333,0.0001,36
4333,2,1804,-198.829162275,3.2049636840820312,0.5883650000000002,1058,108.325,0.0001,40
5158,2,1796,-198.23863575,1.3467581272125244,0.5099900000000004,1264,117.22727272727273,0.0001,44
5880,3,1791,-188.244346375,3.5557119846343994,0.44140000000000035,1444,122.5,0.0001,48
6902,3,1780,-192.21479065384617,0.6961880922317505,0.34431000000000034,1700,132.73076923076923,0.0001,52
9538,5,1769,-191.3978165892857,3.212125301361084,0.09388999999999992,2359,170.32142857142858,0.0001,56
12963,7,1750,-188.37074116666665,3.8170719146728516,0.05,3215,216.05,0.0001,60
14669,8,1744,-186.35220589062502,3.3364760875701904,0.05,3642,229.203125,0.0001,64
15295,8,1743,-195.0677340588235,1.2740272283554077,0.05,3798,224.9264705882353,0.0001,68
16821,9,1741,-197.16556272222223,0.9205477833747864,0.05,4180,233.625,0.0001,72
17448,10,1737,-205.18253989473683,1.2882013320922852,0.05,4336,229.57894736842104,0.0001,76
18041,10,1735,-206.1174515875,1.0170364379882812,0.05,4485,225.5125,0.0001,80
18735,10,1733,-213.05779883333335,1.0478650331497192,0.05,4658,223.03571428571428,0.0001,84
19378,11,1731,-218.1278064659091,1.5083763599395752,0.05,4819,220.20454545454547,0.0001,88
19989,11,1730,-224.62508992391307,1.2590020895004272,0.05,4972,217.27173913043478,0.0001,92
21472,12,1730,-224.3842167291667,1.3143013715744019,0.05,5342,223.66666666666666,0.0001,96
22564,13,1729,-227.87957994,1.2562037706375122,0.05,5615,225.64,0.0001,100
23386,13,1727,-229.48356833999998,1.7330020666122437,0.05,5821,230.01,0.0001,104
27386,15,1722,-227.94766601,6.080516815185547,0.05,6821,266.44,0.0001,108
31386,18,1720,-228.62813119000003,1.2322331666946411,0.05,7821,302.75,0.0001,112
34807,20,1721,-225.30979107000002,0.8910396099090576,0.05,8676,333.17,0.0001,116
38116,22,1719,-221.45839410999997,1.0158239603042603,0.05,9503,362.32,0.0001,120
41324,24,1718,-216.35390383,0.8187320828437805,0.05,10305,390.64,0.0001,124
45324,26,1717,-213.03326482,0.8536773920059204,0.05,11305,425.46,0.0001,128
49324,28,1716,-207.37442338,0.8270123600959778,0.05,12305,460.37,0.0001,132
53324,31,1715,-203.55217260999999,1.1599243879318237,0.05,13305,495.86,0.0001,136
57324,33,1716,-199.58992811999997,0.8194090723991394,0.05,14305,529.91,0.0001,140
61324,35,1714,-195.44027116,0.70936119556427,0.05,15305,561.66,0.0001,144
65324,38,1714,-195.88474667999998,0.7473739981651306,0.05,16305,594.44,0.0001,148
69324,40,1714,-189.60884504999999,1.5362502336502075,0.05,17305,624.22,0.0001,152
73324,42,1713,-186.06526446999993,0.7330055236816406,0.05,18305,637.86,0.0001,156
77324,45,1712,-184.45201938999998,0.7548428773880005,0.05,19305,643.61,0.0001,160
81324,47,1713,-181.19228515000003,0.7290782928466797,0.05,20305,666.55,0.0001,164
85324,49,1712,-170.99827876000003,0.5912178754806519,0.05,21305,700.29,0.0001,168
89324,52,1712,-164.10432742,0.7589719891548157,0.05,22305,725.03,0.0001,172
93324,54,1712,-152.17975766,0.8216347694396973,0.05,23305,758.76,0.0001,176
97324,56,1711,-145.45271294,2.134510040283203,0.05,24305,792.83,0.0001,180
