train/learning_rate,time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/loss,rollout/exploration_rate,time/fps,time/time_elapsed,train/n_updates
0.0001,4,87.0,348,-103.78942925000001,0.769681453704834,0.9669399999999997,3885,0,61
0.0001,8,85.25,682,-158.31453775,0.9604361653327942,0.9352099999999995,3776,0,145
0.0001,12,93.16666666666667,1118,-148.72299258333334,4.104801177978516,0.8937900000000003,3770,0,254
0.0001,16,95.0,1520,-169.9320261875,1.4232759475708008,0.8556000000000001,3774,0,354
0.0001,20,94.6,1892,-179.3923854,0.9712247848510742,0.8202599999999995,3773,0,447
0.0001,24,94.29166666666667,2263,-184.10409833333335,1.4043612480163574,0.7850149999999997,3771,0,540
0.0001,28,97.92857142857143,2742,-188.87621817857143,0.7092345356941223,0.73951,3742,0,660
0.0001,32,99.40625,3181,-203.45953868750001,0.7188708186149597,0.697805,3727,0,770
0.0001,36,99.69444444444444,3589,-203.41557441666666,4.212514877319336,0.6590450000000002,3712,0,872
0.0001,40,100.25,4010,-223.42828360000004,3.986677646636963,0.6190499999999998,3704,1,977
0.0001,44,101.81818181818181,4480,-223.90010956818185,0.9575908780097961,0.5744000000000005,3696,1,1094
0.0001,48,105.60416666666667,5069,-220.69213860416667,1.1463316679000854,0.5184449999999999,3683,1,1242
0.0001,52,110.42307692307692,5742,-222.07746965384615,1.1260000467300415,0.45450999999999986,3644,1,1410
0.0001,56,117.03571428571429,6554,-214.91349110714285,1.4899481534957886,0.37736999999999965,3612,1,1613
0.0001,60,140.13333333333333,8408,-206.54099595,3.831131935119629,0.20123999999999964,3547,2,2076
0.0001,64,168.734375,10799,-197.88479257812497,1.2177890539169312,0.05,3475,3,2674
0.0001,68,193.76470588235293,13176,-193.93263144117643,0.6402549147605896,0.05,3434,3,3268
0.0001,72,192.86111111111111,13886,-200.86385224999998,1.0166453123092651,0.05,3421,4,3446
0.0001,76,202.0921052631579,15359,-205.98574005263154,1.3324658870697021,0.05,3406,4,3814
0.0001,80,214.6625,17173,-213.39237928749998,0.9717038869857788,0.05,3388,5,4268
0.0001,84,221.58333333333334,18613,-215.4804142738095,1.2379631996154785,0.05,3374,5,4628
0.0001,88,217.0681818181818,19102,-222.30825632954546,1.4178745746612549,0.05,3368,5,4750
0.0001,92,214.1304347826087,19700,-227.76971706521738,1.554510474205017,0.05,3363,5,4899
0.0001,96,220.125,21132,-230.37940702083333,1.4046106338500977,0.05,3353,6,5257
0.0001,100,225.3,22530,-227.46904217,4.054824352264404,0.05,3341,6,5607
0.0001,104,261.82,26530,-228.66411336000002,1.2440662384033203,0.05,3333,7,6607
0.0001,108,298.48,30530,-224.09866390000002,1.1714831590652466,0.05,3317,9,7607
0.0001,112,334.12,34530,-221.8215408,1.3907920122146606,0.05,3287,10,8607
0.0001,116,369.12,38432,-217.38646021,0.5633652210235596,0.05,3271,11,9582
0.0001,120,402.13,42105,-212.38558422999998,1.142040491104126,0.05,3256,12,10501
0.0001,124,432.49,45512,-206.48481602999996,1.4004650115966797,0.05,3245,14,11352
0.0001,128,465.21,49263,-201.24360423,0.9175509810447693,0.05,3249,15,12290
0.0001,132,496.43,52824,-197.18903860999995,0.5869384407997131,0.05,3248,16,13180
0.0001,136,522.15,55804,-192.97795973,0.6099879145622253,0.05,3248,17,13925
0.0001,140,556.19,59629,-178.03725606999996,0.6139237284660339,0.05,3252,18,14882
0.0001,144,591.49,63629,-170.63765236000003,0.8191264271736145,0.05,3253,19,15882
0.0001,148,625.46,67615,-162.61918802,2.4645917415618896,0.05,3252,20,16878
0.0001,152,655.87,71329,-153.07308184000001,1.4842609167099,0.05,3254,21,17807
0.0001,156,686.69,75223,-148.7207586,0.6722704768180847,0.05,3252,23,18780
0.0001,160,693.58,77766,-146.40734718,0.6143688559532166,0.05,3252,23,19416
0.0001,164,695.64,80363,-141.96592439,1.9015995264053345,0.05,3253,24,20065
0.0001,168,701.55,83331,-137.23136707,0.48807966709136963,0.05,3252,25,20807
0.0001,172,728.19,86705,-118.60038559,0.6944054365158081,0.05,3247,26,21651
0.0001,176,745.58,89917,-103.78851149999998,0.811409056186676,0.05,3245,27,22454
0.0001,180,763.53,93526,-88.24710605,0.6855711340904236,0.05,3247,28,23356
0.0001,184,785.6,97173,-75.25587064,0.8454214334487915,0.05,3247,29,24268
