time/total_timesteps,rollout/exploration_rate,train/n_updates,train/learning_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/loss
385,0.9634249999999999,71,0.0001,4,-112.5773615,96.25,3586,0,4.146107196807861
769,0.9269450000000002,167,0.0001,8,-197.73548825,96.125,3831,0,4.8188796043396
1150,0.8907500000000004,262,0.0001,12,-186.90376208333336,95.83333333333333,3954,0,1.0736737251281738
1441,0.8631049999999997,335,0.0001,16,-166.04942375,90.0625,3971,0,10.2557373046875
1891,0.8203550000000002,447,0.0001,20,-177.35781619999997,94.55,3999,0,7.050572395324707
2350,0.7767500000000004,562,0.0001,24,-203.915705875,97.91666666666667,4009,0,0.7774877548217773
2891,0.7253550000000002,697,0.0001,28,-217.2997081785714,103.25,3999,0,4.823031425476074
3401,0.6769050000000002,825,0.0001,32,-221.306752625,106.28125,3975,0,1.0202932357788086
4009,0.6191450000000005,977,0.0001,36,-237.4678503888889,111.36111111111111,3971,1,4.035810470581055
4687,0.5547350000000003,1146,0.0001,40,-249.653377325,117.175,3965,1,0.9496669769287109
5480,0.4794000000000004,1344,0.0001,44,-244.93064145454548,124.54545454545455,3943,1,1.8915636539459229
6160,0.41480000000000017,1514,0.0001,48,-236.14486141666666,128.33333333333334,3932,1,1.5070074796676636
7969,0.24294499999999963,1967,0.0001,52,-226.51141207692305,153.25,3856,2,0.8438522219657898
11969,0.05,2967,0.0001,56,-220.57149823214286,213.73214285714286,3753,3,1.5005309581756592
15969,0.05,3967,0.0001,60,-214.01787000000002,266.15,3699,4,1.3266960382461548
19969,0.05,4967,0.0001,64,-207.618415578125,312.015625,3689,5,1.4347721338272095
23969,0.05,5967,0.0001,68,-202.31848845588235,352.4852941176471,3684,6,0.9620201587677002
27223,0.05,6780,0.0001,72,-194.8968032361111,378.09722222222223,3679,7,0.6279304027557373
30449,0.05,7587,0.0001,76,-190.2507315263158,400.64473684210526,3677,8,0.7712263464927673
34449,0.05,8587,0.0001,80,-187.1498071125,430.6125,3674,9,0.8546684980392456
38449,0.05,9587,0.0001,84,-184.643293047619,457.7261904761905,3670,10,0.9460940361022949
40005,0.05,9976,0.0001,88,-184.07608582954546,454.60227272727275,3668,10,0.7226387858390808
42411,0.05,10577,0.0001,92,-182.09347335869563,460.9891304347826,3665,11,0.9411187171936035
45610,0.05,11377,0.0001,96,-177.86922171874997,475.1041666666667,3661,12,0.581947386264801
47999,0.05,11974,0.0001,100,-175.75217725,479.99,3659,13,0.858513355255127
51161,0.05,12765,0.0001,104,-173.80993077999995,507.76,3657,13,0.841265082359314
54491,0.05,13597,0.0001,108,-166.10526849,537.22,3655,14,0.42904898524284363
55581,0.05,13870,0.0001,112,-162.14197552,544.31,3653,15,0.9818678498268127
59145,0.05,14761,0.0001,116,-163.30811859000002,577.04,3652,16,3.902808427810669
63009,0.05,15727,0.0001,120,-160.0323928,611.18,3650,17,0.6458996534347534
66372,0.05,16567,0.0001,124,-151.66602211,640.22,3650,18,0.7684452533721924
70371,0.05,17567,0.0001,128,-143.19230043,674.8,3649,19,0.6290959119796753
74367,0.05,18566,0.0001,132,-133.32108795,709.66,3648,20,0.9493646025657654
78367,0.05,19566,0.0001,136,-119.90585880999998,743.58,3648,21,0.7639433145523071
82065,0.05,20491,0.0001,140,-109.51860386999999,773.78,3647,22,0.95563805103302
86065,0.05,21491,0.0001,144,-103.18092067999999,805.85,3647,23,0.7664472460746765
90065,0.05,22491,0.0001,148,-99.81625783,839.05,3647,24,0.6155444979667664
94065,0.05,23491,0.0001,152,-96.45790841999998,860.96,3647,25,0.7329990863800049
98065,0.05,24491,0.0001,156,-92.89174509999997,860.96,3644,26,0.37972015142440796
